X,Y,Reconstruction_Error
-1368637.9627492824,-844792.1822701137,0.0
-1365327.635762451,-844792.1822701137,0.0
-1362017.3087756196,-844792.1822701137,0.0
-1358706.9817887882,-844792.1822701137,0.0
-1355396.6548019568,-844792.1822701137,0.0
-1352086.3278151255,-844792.1822701137,0.0
-1348776.000828294,-844792.1822701137,0.0
-1345465.6738414627,-844792.1822701137,0.0
-1342155.3468546313,-844792.1822701137,0.0
-1338845.0198678,-844792.1822701137,0.0
-1335534.6928809686,-844792.1822701137,0.0
-1332224.3658941372,-844792.1822701137,0.0
-1328914.0389073058,-844792.1822701137,0.0
-1325603.7119204744,-844792.1822701137,0.0
-1322293.384933643,-844792.1822701137,0.0
-1318983.057946812,-844792.1822701137,0.0
-1315672.7309599803,-844792.1822701137,0.0
-1312362.4039731491,-844792.1822701137,0.0
-1309052.0769863175,-844792.1822701137,0.0
-1305741.7499994864,-844792.1822701137,0.0
-1302431.4230126548,-844792.1822701137,0.0
-1299121.0960258236,-844792.1822701137,0.0
-1295810.769038992,-844792.1822701137,0.0
-1292500.4420521609,-844792.1822701137,0.0
-1289190.1150653292,-844792.1822701137,0.0
-1285879.788078498,-844792.1822701137,0.0
-1282569.4610916665,-844792.1822701137,0.0
-1279259.1341048353,-844792.1822701137,0.0
-1275948.807118004,-844792.1822701137,0.0
-1272638.4801311726,-844792.1822701137,0.0
-1269328.1531443412,-844792.1822701137,0.0
-1266017.8261575098,-844792.1822701137,0.0
-1262707.4991706784,-844792.1822701137,0.0
-1259397.172183847,-844792.1822701137,0.0
-1256086.8451970157,-844792.1822701137,0.0
-1252776.5182101843,-844792.1822701137,0.0
-1249466.191223353,-844792.1822701137,0.0
-1246155.8642365215,-844792.1822701137,0.0
-1242845.5372496904,-844792.1822701137,0.0
-1239535.2102628588,-844792.1822701137,0.0
-1236224.8832760276,-844792.1822701137,0.0
-1232914.556289196,-844792.1822701137,0.0
-1229604.2293023646,-844792.1822701137,0.0
-1226293.9023155333,-844792.1822701137,0.0
-1222983.5753287019,-844792.1822701137,0.0
-1219673.2483418705,-844792.1822701137,0.0
-1216362.921355039,-844792.1822701137,3.603296188999645
-1213052.5943682077,-844792.1822701137,0.0
-1209742.2673813766,-844792.1822701137,0.0
-1206431.940394545,-844792.1822701137,0.0
-1203121.6134077138,-844792.1822701137,0.0
-1199811.2864208822,-844792.1822701137,0.0
-1196500.959434051,-844792.1822701137,0.0
-1193190.6324472197,-844792.1822701137,0.0
-1189880.3054603883,-844792.1822701137,0.0
-1186569.978473557,-844792.1822701137,0.0
-1183259.6514867255,-844792.1822701137,0.0
-1179949.324499894,-844792.1822701137,0.0
-1176638.9975130628,-844792.1822701137,0.0
-1173328.6705262312,-844792.1822701137,0.0
-1170018.3435394,-844792.1822701137,0.0
-1166708.0165525684,-844792.1822701137,0.0
-1163397.6895657373,-844792.1822701137,0.0
-1160087.362578906,-844792.1822701137,0.0
-1156777.0355920745,-844792.1822701137,0.0
-1153466.7086052431,-844792.1822701137,0.0
-1150156.3816184117,-844792.1822701137,0.0
-1146846.0546315804,-844792.1822701137,0.0
-1143535.727644749,-844792.1822701137,0.0
-1140225.4006579176,-844792.1822701137,0.0
-1136915.0736710862,-844792.1822701137,0.0
-1133604.7466842548,-844792.1822701137,0.0
-1130294.4196974235,-844792.1822701137,0.0
-1126984.0927105923,-844792.1822701137,0.0
-1123673.7657237607,-844792.1822701137,0.0
-1120363.4387369296,-844792.1822701137,0.0
